风电场群总出力_MW,集电线路故障率_次百km年,箱变渗漏油次数_次月,风机基础沉降速率_mm月,场区道路承载力_MPa,电缆沟积水深度_mm,集电系统电压不平衡度_%,升压站设备温升_℃,防雷接地电阻_Ω,风机可利用率_%,CRI综合风险指数,风险等级_二分类
94.83,0.58,0.0,0.04,34.03,20.88,0.15,32.36,0.68,98.1,0.6282,1
351.67,1.34,2.92,0.01,30.12,13.6,0.34,38.23,5.76,93.78,0.2516,0
357.55,6.74,0.06,3.05,19.05,24.85,1.29,15.0,1.46,95.12,0.6893,1
140.89,3.02,0.05,0.47,51.82,6.06,0.07,29.2,3.62,95.07,0.4931,1
71.07,2.55,0.02,0.83,33.28,19.38,1.44,54.94,6.8,92.82,0.8517,1
286.31,2.24,0.09,0.64,24.17,1.31,1.38,56.86,0.73,96.04,0.5144,1
221.6,4.53,1.91,0.95,43.93,1.83,0.11,31.09,0.94,93.52,0.5453,1
480.0,1.01,0.02,1.08,37.15,32.16,0.34,40.57,4.33,94.77,0.0981,1
156.52,3.42,0.99,1.65,34.99,90.13,0.1,37.37,1.21,94.09,0.6861,1
281.29,1.03,0.95,0.24,39.58,5.78,0.87,76.67,3.48,94.73,0.4414,0
217.66,6.63,1.05,0.52,36.02,39.59,1.55,70.78,0.57,91.17,0.7949,0
328.04,2.6,2.01,0.53,26.6,48.99,1.24,40.15,1.86,97.99,0.4883,1
415.88,3.74,1.94,0.45,42.87,21.36,0.27,65.85,8.09,96.62,0.2816,0
411.42,0.56,0.07,0.73,42.09,3.05,2.95,47.13,1.56,90.5,0.3392,0
245.42,3.05,1.0,2.63,38.42,71.93,1.1,45.66,5.15,92.5,0.6293,1
133.39,0.57,1.05,0.53,53.5,63.67,0.95,49.86,4.95,93.65,0.5934,1
251.16,0.86,0.0,0.65,31.59,20.72,0.25,65.42,5.1,97.83,0.536,1
77.02,1.75,0.01,0.29,45.53,57.11,0.48,56.14,2.01,91.94,0.6346,1
278.55,2.95,3.07,1.91,41.09,11.16,1.25,33.91,7.22,95.66,0.4814,1
283.72,0.25,0.0,2.88,37.02,49.48,0.63,31.95,3.79,88.67,0.426,0
273.95,0.38,2.07,0.09,24.75,5.76,2.49,53.77,2.58,91.81,0.5368,1
171.56,1.0,0.04,1.63,36.72,27.12,0.61,56.55,4.68,99.99,0.5674,1
270.31,1.4,0.92,2.27,37.88,4.58,0.17,71.57,1.98,98.49,0.56,1
119.71,3.28,0.99,2.89,12.97,86.36,0.1,28.01,2.01,97.64,0.8374,1
303.25,1.78,1.06,0.99,29.76,21.8,0.46,45.37,1.51,93.79,0.4642,1
251.89,0.68,0.13,1.35,40.96,80.52,0.95,57.4,1.29,90.76,0.4938,1
302.66,1.55,1.08,0.48,34.79,2.42,0.57,55.67,0.84,97.52,0.3803,0
438.05,1.65,0.04,0.21,19.64,35.68,0.25,32.55,1.91,91.88,0.2499,0
379.6,1.35,1.04,0.07,22.56,22.43,0.45,75.14,5.78,94.17,0.3724,0
297.41,2.2,2.02,0.42,48.13,5.64,1.03,28.64,4.35,97.2,0.2952,0
482.63,0.27,1.0,3.18,28.64,47.42,2.61,15.0,1.36,91.17,0.319,0
287.23,0.99,0.98,0.59,34.37,31.6,0.36,31.76,0.71,94.47,0.4075,0
162.4,1.37,0.0,0.28,36.43,18.31,0.39,39.43,0.77,94.15,0.5281,0
380.73,5.64,0.97,3.34,14.78,11.22,1.55,57.31,12.21,92.25,0.8126,1
282.33,5.99,0.0,0.61,44.61,51.38,0.45,47.27,0.96,90.91,0.624,1
176.67,2.07,0.93,2.01,26.09,3.64,1.16,33.62,0.53,91.6,0.6713,1
57.64,0.67,0.0,0.29,42.02,14.29,0.39,63.32,0.5,93.97,0.6654,1
317.6,2.23,1.02,4.63,48.22,42.19,0.4,31.66,3.4,96.86,0.5076,1
404.91,0.46,1.0,0.24,30.22,58.75,1.88,15.0,1.3,99.99,0.2152,0
206.29,6.32,1.05,3.57,39.74,1.17,0.25,29.76,4.94,97.02,0.8354,1
323.43,1.17,1.91,0.25,42.37,25.44,0.54,53.48,4.96,90.96,0.3297,0
394.86,4.32,2.93,2.26,36.07,6.87,1.03,30.18,4.07,93.23,0.3991,0
234.77,1.34,0.97,0.44,24.1,22.97,0.16,34.51,1.92,88.06,0.3576,0
331.19,0.44,4.04,0.46,28.71,11.97,0.63,47.46,0.5,90.71,0.27,0
361.42,0.59,1.06,3.0,23.31,1.75,1.74,36.64,5.52,99.99,0.4298,0
244.72,0.41,0.0,0.85,25.66,8.19,1.0,19.74,2.52,96.23,0.3845,0
66.93,0.26,2.04,1.55,47.91,0.28,0.27,36.24,2.06,95.92,0.6096,1
210.46,0.7,1.03,2.82,51.26,16.1,0.73,49.31,3.44,86.64,0.5579,0
258.95,0.1,1.08,0.79,41.11,51.29,0.17,60.63,7.89,94.44,0.4327,0
436.04,0.36,1.04,0.66,26.62,19.99,0.73,33.13,4.18,98.47,0.114,0
425.63,0.4,3.01,0.65,50.69,4.84,1.3,76.27,1.5,98.68,0.1368,0
105.66,0.1,0.0,1.02,31.6,6.46,1.56,40.59,10.07,90.42,0.6552,1
407.94,4.35,2.0,0.71,42.31,1.58,0.76,48.55,4.75,97.23,0.2796,0
117.21,1.25,0.95,0.4,27.04,7.97,0.72,34.72,5.19,90.36,0.7134,1
191.23,0.36,1.06,2.3,39.09,27.35,1.1,74.43,0.5,99.4,0.5606,1
152.5,1.94,0.0,0.02,26.04,20.28,0.4,36.43,2.28,96.5,0.5249,1
144.78,2.1,2.06,0.66,30.52,98.44,0.29,45.55,5.7,93.31,0.603,0
347.36,4.35,1.82,3.44,24.26,77.25,0.19,78.13,1.1,96.57,0.646,1
171.14,1.56,0.05,1.37,47.07,47.43,0.07,43.31,6.94,86.47,0.5496,1
334.37,0.85,0.99,0.03,46.83,115.07,0.37,46.71,2.77,92.2,0.1816,0
362.99,3.02,2.05,0.57,19.41,1.33,0.31,65.32,2.49,98.9,0.45,0
136.04,0.22,0.9,0.59,34.72,45.59,1.2,38.26,1.41,97.01,0.5545,1
277.5,1.93,1.91,0.02,36.71,13.92,1.07,32.94,4.59,98.36,0.3806,0
247.04,0.4,0.03,4.17,47.31,19.34,0.51,35.4,3.64,95.66,0.4523,0
66.77,0.3,2.0,0.75,33.68,42.99,0.76,44.1,2.31,95.2,0.7016,1
439.98,0.1,0.94,0.5,32.54,20.57,0.61,50.93,4.18,91.98,0.254,0
464.21,0.76,0.0,0.69,44.3,92.23,0.52,43.27,1.34,97.38,0.1024,0
161.18,0.57,2.02,0.5,32.58,15.97,1.09,54.86,3.0,94.03,0.6127,1
93.43,2.69,1.01,2.08,36.44,26.64,0.71,65.43,3.78,87.09,0.873,1
390.2,1.93,0.97,0.32,12.25,26.26,0.97,37.31,2.87,99.99,0.3264,0
106.86,1.46,2.0,0.08,24.84,44.74,0.3,31.14,2.23,93.09,0.6868,1
152.74,0.29,1.02,2.1,31.14,72.19,0.3,36.72,2.32,93.69,0.5776,1
410.13,0.39,1.93,0.86,28.58,1.22,0.16,59.96,3.96,93.07,0.2645,0
303.89,1.32,0.96,0.8,29.36,23.63,0.85,35.74,2.58,95.69,0.4377,0
334.68,0.7,0.84,1.36,38.16,52.32,1.68,67.72,2.52,94.09,0.3736,0
407.93,1.6,2.02,0.58,32.86,6.48,0.26,56.08,4.2,86.55,0.2884,0
392.91,1.29,1.02,0.15,41.61,40.43,0.46,41.76,4.74,97.73,0.1235,0
348.2,1.41,0.04,0.7,61.45,17.75,0.61,33.16,3.44,94.27,0.0997,0
128.46,3.53,3.11,0.36,42.29,52.76,0.54,49.01,11.83,95.86,0.7235,1
83.65,1.89,1.06,1.45,39.08,14.56,0.1,42.36,1.95,96.71,0.6288,1
167.85,1.56,1.02,0.76,30.4,14.53,0.48,41.16,1.49,91.92,0.5915,1
263.13,1.4,0.99,0.97,38.27,0.2,0.9,45.83,2.68,88.41,0.4539,0
487.04,0.85,2.83,1.21,40.05,44.23,1.48,35.27,2.41,88.09,0.145,1
320.36,1.86,1.98,0.43,12.05,9.74,0.75,75.63,11.47,93.74,0.6046,1
317.72,0.27,0.04,3.45,42.64,31.67,0.27,44.7,4.62,97.31,0.3735,0
243.92,3.87,0.92,0.04,42.17,23.64,0.4,54.33,1.72,96.72,0.5087,1
395.22,1.09,0.03,2.02,38.78,16.25,0.63,26.4,0.63,93.51,0.2904,0
284.17,0.69,0.91,0.29,33.31,36.45,2.88,27.13,4.79,94.44,0.438,1
419.66,1.78,0.04,0.34,32.57,8.38,1.05,59.82,4.93,93.71,0.3214,0
199.44,2.93,1.04,0.69,23.13,34.55,0.15,33.46,6.14,94.88,0.528,1
444.08,0.9,1.04,0.25,43.99,0.99,0.95,44.7,9.48,94.16,0.2062,0
313.08,0.7,3.01,0.35,28.65,2.86,0.87,35.9,2.18,89.71,0.4136,0
342.84,0.91,0.0,0.5,38.43,24.67,0.19,15.0,3.22,94.4,0.1982,0
407.06,1.42,0.99,1.98,43.62,8.4,1.39,60.69,4.51,87.82,0.38,0
222.15,1.52,0.0,0.87,28.17,83.09,1.78,44.9,2.18,96.13,0.589,1
132.34,1.88,2.05,1.41,32.03,7.64,0.48,30.55,0.5,99.99,0.5715,1
131.01,4.25,0.02,1.92,36.97,3.06,0.8,49.71,4.21,94.66,0.7495,1
159.5,1.74,0.02,0.78,47.05,2.29,0.63,61.14,1.62,93.54,0.5946,0
364.4,0.39,0.97,0.52,44.45,51.23,0.98,57.25,2.3,94.14,0.2144,0
286.15,2.04,0.0,0.3,14.36,9.67,0.13,70.69,9.41,99.99,0.5353,0
72.27,0.69,2.01,0.52,40.75,34.19,0.27,65.28,4.8,91.56,0.7095,1
374.41,0.72,0.01,0.77,32.12,0.03,1.15,75.31,4.66,93.42,0.4201,0
273.69,4.9,2.05,0.91,21.32,14.73,0.07,47.33,4.81,95.39,0.5916,1
434.96,2.3,2.93,0.3,37.11,21.22,0.4,15.0,2.62,99.29,0.1295,0
272.67,0.34,1.07,0.29,25.92,0.2,0.83,80.76,1.78,94.85,0.5187,1
228.21,1.16,2.05,0.51,40.59,22.29,0.4,74.6,2.42,95.23,0.504,1
107.84,0.76,6.03,1.64,44.1,11.39,1.49,24.12,8.21,97.4,0.6176,1
205.61,1.14,2.07,0.4,16.24,7.43,1.25,50.81,4.29,99.99,0.6758,1
334.08,0.16,2.01,1.49,33.1,25.09,0.64,26.77,7.35,99.99,0.324,0
125.06,0.69,2.11,0.11,41.75,55.56,0.92,30.19,3.72,92.61,0.5664,1
380.51,1.72,0.95,0.12,35.58,9.3,0.31,25.71,2.98,89.78,0.1897,0
212.26,3.14,0.96,0.4,34.51,26.61,0.7,49.83,2.62,92.6,0.5274,1
217.62,0.78,0.0,1.81,20.46,58.32,1.68,25.18,0.88,95.13,0.6049,0
165.55,5.01,2.06,0.63,40.38,35.96,0.18,65.21,5.0,90.15,0.6774,1
288.08,1.55,0.96,1.01,40.32,13.47,1.44,51.96,2.41,95.73,0.4089,0
398.39,0.1,3.04,0.24,33.52,2.59,0.12,51.19,2.94,93.45,0.1313,0
239.11,1.65,2.03,0.18,28.32,4.39,0.93,24.53,1.97,89.63,0.553,0
320.71,0.1,0.0,2.27,26.29,19.76,2.64,45.1,2.3,97.88,0.5043,1
442.32,0.21,3.93,1.06,24.42,19.52,0.48,32.48,2.81,97.12,0.1559,0
94.35,0.47,1.03,3.42,43.47,48.27,1.34,55.51,1.77,99.99,0.7203,1
465.02,1.84,0.02,0.42,25.53,25.27,0.01,33.94,3.16,94.92,0.0697,0
51.8,2.48,0.01,0.67,36.2,3.58,2.68,46.03,2.3,91.72,0.8606,1
447.31,3.9,1.96,0.17,16.77,23.62,2.19,33.97,7.94,90.96,0.3546,0
405.73,2.42,0.07,0.24,42.24,2.62,1.02,40.02,6.06,97.92,0.2036,0
482.74,3.75,2.98,1.66,33.28,13.76,0.21,42.29,3.43,91.35,0.2674,0
397.5,1.44,0.97,0.91,45.54,0.34,0.85,75.06,6.4,96.01,0.2732,0
80.43,2.2,0.0,1.52,27.26,87.7,1.12,75.11,5.8,99.99,0.8822,1
216.78,0.44,1.05,0.9,45.04,9.11,0.18,51.26,3.21,92.19,0.4197,0
60.12,1.26,0.95,1.38,53.3,11.01,0.37,62.02,5.5,96.09,0.636,1
175.67,1.38,1.97,0.22,26.64,10.78,0.9,33.01,7.26,90.21,0.4642,1
383.49,1.77,2.01,0.54,26.75,6.65,0.54,45.98,2.63,98.47,0.3259,0
288.94,0.27,0.0,1.28,39.33,8.13,1.59,51.1,3.65,93.05,0.4071,0
343.64,2.38,0.1,0.76,31.75,42.25,0.37,71.48,1.96,92.41,0.5263,1
485.34,4.94,2.08,1.23,27.0,27.28,0.65,47.33,4.21,88.77,0.3655,0
444.74,3.52,1.08,0.51,34.12,10.99,2.07,32.73,2.3,94.27,0.2739,1
122.01,2.12,0.0,1.27,38.97,25.41,0.3,47.68,6.29,94.83,0.6083,1
200.13,2.99,1.07,1.53,26.63,0.71,0.86,53.37,2.98,99.3,0.6751,1
298.91,2.16,1.99,0.53,36.43,15.36,0.07,37.25,8.14,95.8,0.3559,0
454.07,3.24,0.92,2.82,41.6,32.31,0.67,38.49,4.15,94.05,0.3154,0
428.06,0.8,2.06,3.03,42.56,28.94,0.63,26.68,3.46,95.75,0.191,0
95.92,0.76,2.07,0.46,20.91,2.84,2.92,19.83,7.11,97.41,0.6664,1
171.67,1.29,0.96,0.14,28.78,13.43,0.7,57.19,13.46,92.19,0.5545,1
245.94,2.94,2.0,0.82,37.94,8.44,0.54,19.85,5.24,89.78,0.5079,0
320.68,1.75,0.0,0.87,48.55,14.15,1.1,29.13,4.57,88.84,0.2758,0
334.08,2.13,0.02,0.63,38.67,26.74,0.66,17.03,2.44,95.38,0.3424,1
483.88,0.15,1.95,0.89,40.33,45.64,0.1,62.84,1.66,95.91,0.0876,0
406.52,0.5,1.95,0.4,41.77,10.63,0.88,52.42,3.77,90.55,0.1815,0
133.83,1.46,1.95,0.53,40.49,22.01,0.23,26.62,5.71,94.95,0.4783,1
320.41,0.76,0.99,0.21,35.57,8.39,0.55,15.0,1.95,99.99,0.1931,0
419.23,0.78,0.92,0.81,45.33,8.68,2.2,30.32,1.07,98.74,0.1922,0
388.47,0.86,0.08,1.33,42.08,7.14,2.49,37.91,5.81,93.1,0.4172,0
436.94,6.48,0.06,0.1,42.17,13.77,1.05,55.5,4.96,95.46,0.3229,0
161.36,1.39,0.06,0.44,34.56,76.05,2.51,41.51,3.34,91.94,0.5663,1
437.05,0.89,0.96,0.16,38.0,19.93,1.73,41.72,2.79,87.86,0.1734,0
354.58,2.71,1.95,0.88,48.94,40.69,0.73,39.28,10.47,86.75,0.3267,0
181.21,1.01,0.08,2.32,53.05,26.39,0.49,26.77,4.69,93.26,0.4797,1
320.9,2.98,1.01,0.63,52.18,15.24,0.52,22.15,4.4,99.83,0.1967,0
463.7,0.37,1.04,0.04,33.54,54.18,0.18,17.13,1.76,92.81,0.0,0
466.71,1.66,0.0,0.43,36.34,25.84,1.02,38.31,4.16,91.5,0.2005,0
152.3,0.66,0.0,0.37,40.16,35.88,0.79,35.88,8.64,91.74,0.5449,1
206.85,2.78,1.01,1.72,18.19,20.47,0.78,53.58,5.92,89.39,0.7491,1
163.37,1.96,0.0,0.67,29.46,11.94,0.28,58.32,4.7,91.89,0.649,0
358.8,2.15,0.0,0.61,45.59,0.25,0.74,41.41,0.82,99.99,0.2419,0
224.65,2.79,0.04,6.39,30.09,48.72,0.45,37.77,7.62,99.99,0.7115,0
95.05,0.85,3.09,0.55,49.14,0.92,0.92,35.91,0.99,94.02,0.5325,1
183.87,0.27,2.03,0.57,29.99,22.39,1.72,45.25,2.88,89.09,0.5571,1
136.15,2.21,0.0,2.18,18.52,2.0,0.36,62.27,0.92,92.59,0.8149,0
230.99,1.19,2.98,2.8,54.3,19.63,2.12,43.16,3.73,88.75,0.6023,1
356.94,1.49,0.98,0.17,25.69,6.98,0.7,45.89,2.28,98.99,0.361,0
122.28,1.58,0.0,0.68,10.13,11.34,0.2,20.28,3.86,88.84,0.6937,1
425.09,1.52,0.98,3.57,30.47,8.57,1.53,58.74,4.41,89.34,0.5305,1
136.21,6.15,3.01,0.58,32.27,3.01,0.55,39.9,2.08,97.48,0.7965,1
463.91,0.79,0.98,0.65,31.66,91.46,0.52,25.92,5.26,98.74,0.0879,0
313.84,5.11,1.01,1.1,55.8,23.17,0.22,52.02,6.02,91.94,0.4099,0
319.74,1.88,0.95,1.32,40.76,33.05,1.55,44.11,3.15,95.09,0.4605,1
188.39,4.02,1.03,1.6,31.67,5.93,0.89,31.92,6.43,97.59,0.6756,0
374.28,0.44,0.99,0.44,51.61,37.12,2.84,28.27,1.96,92.1,0.1751,0
122.01,0.38,0.02,0.75,38.69,96.3,0.43,37.61,3.42,85.92,0.5658,1
141.44,1.77,0.97,0.34,24.0,10.29,0.21,32.28,6.32,96.8,0.5726,1
313.68,1.56,0.06,0.9,43.89,9.23,0.43,30.15,0.93,99.99,0.2719,0
191.38,2.38,1.09,0.47,32.4,8.93,0.13,32.34,6.02,99.23,0.4525,1
463.89,2.01,1.04,0.08,47.14,32.54,1.49,28.39,2.8,94.42,0.106,0
315.91,0.57,2.02,0.32,54.87,78.1,0.58,19.34,1.52,98.21,0.215,0
139.31,1.38,1.05,4.46,33.79,106.65,1.93,35.53,1.82,89.86,0.8242,0
420.98,0.24,1.05,0.84,31.27,67.17,0.55,29.09,2.7,94.19,0.1014,0
231.98,2.62,3.05,3.76,32.29,23.07,0.9,42.91,13.02,86.68,0.6981,1
149.69,0.73,3.93,0.7,41.62,13.62,0.74,53.79,5.76,98.92,0.5608,1
110.92,2.31,0.96,0.12,44.04,16.05,0.42,41.17,8.97,95.33,0.6101,1
265.58,1.53,1.88,2.7,10.27,24.5,2.3,46.23,1.81,91.37,0.6961,1
331.18,1.13,0.05,0.3,34.25,3.16,0.72,23.38,6.34,89.58,0.3327,0
243.44,4.07,0.02,0.26,27.68,43.13,1.21,41.48,1.75,96.37,0.5845,1
281.17,4.03,0.0,0.32,21.73,100.04,0.7,75.6,4.18,95.78,0.5819,1
404.08,1.78,0.98,1.32,26.32,22.31,0.36,51.49,1.49,97.18,0.4185,0
291.29,2.28,0.92,0.21,25.06,8.71,1.07,76.97,1.8,92.72,0.6384,1
313.33,4.21,0.02,1.02,30.51,10.46,1.42,36.89,1.65,92.64,0.533,1
150.08,3.59,0.07,1.25,43.2,28.75,0.83,35.29,0.56,91.13,0.7899,1
99.88,0.44,1.98,0.48,38.04,15.54,0.18,34.35,3.38,99.99,0.5289,1
111.0,0.33,0.01,0.28,38.16,91.49,1.89,38.4,5.79,89.25,0.5888,1
63.78,1.1,0.0,0.18,35.63,4.12,0.79,59.65,0.78,96.86,0.7452,1
130.95,0.37,3.01,2.71,41.94,9.38,0.47,41.84,0.87,94.39,0.6301,1
447.27,1.26,4.08,1.92,42.4,1.78,0.43,29.08,5.0,91.89,0.1907,0
263.23,2.21,0.97,0.92,27.3,17.39,0.11,36.87,0.83,97.28,0.4862,1
363.28,3.88,0.99,0.2,22.41,0.33,1.91,42.21,3.77,82.97,0.5281,0
470.83,1.7,0.0,0.85,36.3,37.49,1.14,60.55,1.2,90.78,0.1628,0
405.0,5.53,1.07,1.13,43.96,99.37,1.35,38.65,3.0,89.31,0.4721,1
102.77,3.2,1.05,1.52,45.87,11.31,0.18,52.67,5.61,93.68,0.7175,1
285.47,2.74,0.0,1.1,11.1,43.31,1.65,19.31,5.48,94.57,0.6036,1
336.03,1.98,0.0,0.31,25.72,25.21,0.82,28.99,2.14,97.4,0.271,0
467.34,0.19,0.0,0.4,40.8,57.9,0.89,32.23,1.65,91.49,0.0392,0
455.41,4.53,0.02,0.08,32.98,16.59,1.84,23.31,2.16,92.19,0.3234,1
131.87,1.64,3.09,0.46,14.67,57.37,0.43,50.89,2.81,91.36,0.691,1
201.46,0.42,0.04,2.05,38.53,5.44,1.28,40.35,4.0,98.39,0.5291,0
317.72,0.43,4.05,0.86,22.31,2.59,0.4,75.12,2.3,90.12,0.4454,0
103.48,2.03,0.0,0.87,18.6,7.29,0.51,58.23,1.16,99.99,0.8087,0
90.08,0.91,3.03,0.41,36.58,26.28,0.99,70.1,0.5,96.88,0.6918,1
222.66,0.5,0.03,0.43,47.72,0.14,0.17,45.34,4.53,99.99,0.4321,0
125.35,0.99,1.01,0.05,24.13,36.32,0.48,61.21,1.91,89.56,0.7122,1
72.0,4.18,0.0,0.65,30.4,5.81,0.34,44.46,0.5,91.05,0.8275,1
159.27,0.1,0.05,0.17,36.92,39.58,1.42,52.89,0.88,88.42,0.599,1
239.34,1.3,0.99,0.22,48.28,10.63,2.21,60.23,2.3,93.79,0.4691,1
252.47,4.18,0.01,0.58,21.37,31.71,0.45,31.47,1.57,93.44,0.587,1
350.01,2.45,0.85,0.93,46.72,13.58,0.53,52.52,9.26,94.89,0.3472,0
188.9,3.92,0.94,0.21,43.85,62.29,0.39,45.99,3.84,99.99,0.5178,1
385.77,3.11,0.01,1.39,41.43,10.84,1.28,68.01,6.61,97.51,0.3728,0
277.67,2.39,0.03,0.48,51.99,12.86,0.16,28.61,6.06,88.92,0.3203,0
340.67,3.18,3.99,1.38,34.85,35.79,0.52,40.84,5.67,99.99,0.4535,0
169.03,0.91,1.89,0.27,48.59,3.52,0.83,71.45,4.43,92.21,0.6081,1
123.08,1.14,2.0,0.64,44.27,18.71,0.56,68.5,7.25,87.28,0.6475,1
464.12,0.71,3.04,1.23,32.38,65.18,4.01,47.15,5.05,99.99,0.3044,0
69.95,2.98,0.01,0.41,31.74,55.78,0.46,45.88,3.32,93.55,0.7452,1
342.56,0.78,3.02,0.17,32.17,24.4,1.82,61.54,6.53,91.33,0.3636,1
236.12,1.45,0.93,1.13,21.04,14.55,0.89,59.13,0.94,95.46,0.6193,1
160.68,1.98,0.92,0.46,33.34,8.52,1.13,34.3,2.38,89.27,0.622,1
51.52,0.9,2.03,0.76,18.65,57.66,0.79,52.36,3.36,91.19,0.7924,1
230.28,4.25,3.02,0.07,16.25,16.49,2.43,70.49,3.4,99.53,0.8138,0
143.47,1.88,0.99,1.69,49.04,1.3,0.24,33.3,3.86,92.29,0.5654,0
467.43,0.27,2.02,2.02,22.04,20.45,3.79,71.42,2.86,99.99,0.446,0
454.02,1.12,0.0,0.92,26.29,30.97,0.67,54.44,1.54,99.99,0.1967,0
373.08,3.36,0.0,1.34,38.95,141.07,0.92,33.13,2.36,97.81,0.3417,0
490.05,2.45,0.96,0.03,34.72,6.03,0.35,30.22,1.61,95.68,0.1029,0
346.46,4.26,0.92,3.5,44.74,49.48,1.39,23.07,4.44,93.7,0.5835,1
212.72,0.76,0.0,0.69,51.93,13.36,0.22,66.16,3.71,88.96,0.4917,1
372.8,4.11,2.09,0.65,34.49,51.89,0.77,24.46,2.7,91.57,0.3825,0
407.63,0.32,1.95,0.37,44.09,20.69,0.58,86.63,2.65,85.61,0.2869,0
397.9,0.27,0.99,0.68,32.88,29.99,1.09,44.48,1.18,91.57,0.2426,0
95.34,0.11,1.07,1.23,23.14,0.69,1.36,46.42,4.57,94.51,0.7056,1
326.11,0.42,2.04,1.34,28.44,20.39,0.71,45.45,1.08,91.06,0.369,0
376.1,3.76,2.0,1.04,20.95,27.72,0.36,53.6,2.26,94.94,0.4535,0
461.14,1.49,1.07,1.17,23.12,23.14,1.05,28.61,3.29,93.81,0.2103,0
470.53,1.64,0.96,0.2,23.79,8.57,0.07,62.9,2.19,83.31,0.2752,0
494.67,4.52,2.0,1.6,27.26,8.66,0.19,52.29,4.01,92.54,0.3357,0
161.78,2.11,2.03,0.2,26.76,10.12,2.37,40.92,6.91,98.84,0.7017,1
205.64,0.69,0.0,0.67,35.67,32.28,0.97,35.68,9.26,96.86,0.5503,1
150.37,1.42,0.98,1.05,45.34,0.22,0.6,45.16,2.8,89.01,0.5416,1
484.45,1.26,0.98,0.7,36.9,60.43,0.23,61.38,6.57,92.87,0.0522,1
138.6,2.22,0.97,0.44,36.05,46.51,1.91,39.15,5.6,90.42,0.7108,1
434.84,4.66,1.98,0.63,38.73,16.88,0.1,60.87,0.5,92.76,0.3374,0
230.82,0.54,0.01,0.73,44.24,25.34,0.56,39.65,0.5,95.26,0.4194,0
444.34,0.32,1.99,0.23,20.52,3.33,0.46,15.0,0.96,95.84,0.1419,1
179.41,1.88,0.0,1.04,32.81,91.71,0.49,37.41,0.66,91.18,0.6051,1
146.3,0.3,0.92,2.73,30.8,29.68,0.52,48.76,5.61,93.45,0.6113,1
204.35,0.86,0.0,0.21,49.88,0.06,0.69,57.96,8.2,87.98,0.4146,0
381.16,2.36,1.0,1.01,48.04,46.27,0.11,22.26,4.9,93.13,0.1775,0
249.57,0.1,4.02,0.3,18.96,5.21,0.29,39.79,6.17,98.27,0.345,0
194.86,0.44,0.01,1.16,42.94,71.59,0.41,45.95,6.3,98.48,0.4587,0
489.35,0.61,4.97,0.04,27.56,6.88,2.28,40.54,1.21,98.32,0.1186,0
248.92,1.67,0.99,0.03,51.57,23.43,0.76,37.36,5.58,95.81,0.3083,0
132.55,5.31,1.02,2.61,53.13,11.11,0.07,26.01,10.64,99.99,0.759,1
377.34,2.34,2.04,1.73,36.17,0.41,0.33,63.57,3.33,96.96,0.3567,0
427.54,5.88,0.95,0.53,37.56,24.18,1.15,38.22,0.73,93.82,0.4096,0
288.05,1.81,1.0,0.08,41.12,23.71,2.29,58.36,2.52,93.35,0.4625,1
140.49,1.32,0.0,0.09,33.02,15.9,0.07,29.26,0.54,93.94,0.5903,1
462.14,1.31,1.08,0.85,59.43,3.34,0.05,26.06,1.29,93.39,0.0,0
146.04,3.13,2.0,0.66,40.86,20.22,0.77,32.02,2.47,91.16,0.6989,1
327.84,2.74,1.05,1.12,37.73,27.93,0.56,61.66,3.0,94.68,0.4886,1
255.45,1.25,2.01,0.15,25.01,78.09,0.78,64.69,2.08,90.84,0.5182,0
216.24,2.28,0.0,1.04,33.17,12.28,0.21,51.84,6.26,99.13,0.5218,1
366.5,4.68,2.95,0.17,35.36,19.98,0.8,42.44,2.1,88.91,0.4414,0
196.0,1.09,1.0,0.08,40.9,15.67,1.08,51.93,3.18,93.8,0.4702,1
90.06,3.29,0.0,0.32,45.37,2.35,0.39,26.82,4.91,96.87,0.6375,1
96.84,2.5,0.0,1.86,23.3,15.75,0.25,21.2,6.93,99.99,0.6488,1
418.22,0.63,0.0,2.75,28.97,7.56,0.48,49.28,6.26,94.59,0.2834,0
98.34,0.35,0.0,0.12,28.28,17.04,2.44,72.65,5.23,94.43,0.7221,1
108.13,1.33,0.99,1.21,32.58,4.23,0.84,44.49,6.6,88.87,0.7591,1
491.88,0.16,0.0,2.13,18.43,15.62,0.5,29.52,3.5,97.27,0.0145,0
229.0,3.06,1.0,0.18,56.48,37.82,0.99,44.83,4.9,93.32,0.4862,0
457.24,0.5,3.0,0.24,49.85,50.44,0.86,27.25,3.01,99.99,0.0,0
248.03,3.47,1.0,0.33,16.07,10.09,0.52,56.81,0.62,92.32,0.5849,1
201.82,0.37,1.94,0.17,30.41,5.58,0.54,72.36,0.88,93.27,0.5054,1
422.46,1.44,2.04,1.51,27.78,33.92,1.37,66.73,1.71,92.08,0.4126,0
113.53,2.78,0.96,4.38,34.63,95.98,0.54,56.17,0.5,98.42,0.8246,1
220.0,1.05,0.03,0.11,39.73,21.77,0.62,31.31,8.2,93.44,0.3881,0
398.88,1.44,1.0,0.64,29.8,10.43,0.08,52.14,3.13,88.98,0.2883,0
380.22,1.64,1.04,0.8,30.94,49.93,0.81,27.16,2.72,91.9,0.2523,0
489.16,1.37,0.0,0.13,31.5,7.56,0.59,45.52,4.71,92.41,0.0727,0
